date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:49	58/58	---MCZ	200	added ('OK')	text/plain	date:Sat,%2003%20Dec%202022%2000:09:48%20GMT	https://syntec.net/robots.txt		(from )
18:09:51	8778/8778	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202022%2000:09:48%20GMT	https://syntec.net/?%2F=home	C:/My%20Web%20Sites/yes/syntec.net/indexde66.html	(from )
18:09:51	23813/23813	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Dec%202022%2000:09:50%20GMT	https://syntec.net/package/early_js/c5bcb2b703c12cc31e5a643f3beafacd0fd83738d617fb5a9a2b524326bd2d5b/xfalse/early.js	C:/My%20Web%20Sites/yes/syntec.net/package/early_js/c5bcb2b703c12cc31e5a643f3beafacd0fd83738d617fb5a9a2b524326bd2d5b/xfalse/early.js	(from https://syntec.net/?%2F=home)
18:09:52	8729/8729	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Dec%202022%2000:09:50%20GMT	https://syntec.net/GET	C:/My%20Web%20Sites/yes/syntec.net/GET	(from https://syntec.net/?%2F=home)
18:09:52	4233/4233	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Dec%202022%2023:30:13%20GMT	https://d1muf25xaso8hp.cloudfront.net/https%3A%2F%2Fs3.amazonaws.com%2Fappforest_uf%2Ff1613822951300x111464312039828210%2FSyntec_FinalTrans_2x_PNG.png?w=128&h=&auto=compress&dpr=1&fit=max	C:/My%20Web%20Sites/yes/d1muf25xaso8hp.cloudfront.net/https_/s3.amazonaws.com/appforest_uf/f1613822951300x111464312039828210/Syntec_FinalTrans_2x_PNG8078.png	(from https://syntec.net/?%2F=home)
18:09:53	71511/71511	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202022%2000:09:51%20GMT	https://syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css	C:/My%20Web%20Sites/yes/syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css	(from https://syntec.net/?%2F=home)
18:09:54	3313921/3313921	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Dec%202022%2000:09:52%20GMT	https://syntec.net/package/run_js/dff6dd40b7eb92e2b0687ed485f28a4891f53e970797407aadfc73032fb08007/xtrue/x12/run.js	C:/My%20Web%20Sites/yes/syntec.net/package/run_js/dff6dd40b7eb92e2b0687ed485f28a4891f53e970797407aadfc73032fb08007/xtrue/x12/run.js	(from https://syntec.net/?%2F=home)
18:09:54	533351/533351	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Dec%202022%2000:09:52%20GMT	https://syntec.net/package/static_js/7175604784daaf62ce55991d15a215e7b9dfed5fd2b76ae45264b4fa332b9531/syntec-web/live/index/xnull/xfalse/xfalse/xtrue/static.js	C:/My%20Web%20Sites/yes/syntec.net/package/static_js/7175604784daaf62ce55991d15a215e7b9dfed5fd2b76ae45264b4fa332b9531/syntec-web/live/index/xnull/xfalse/xfalse/xtrue/static.js	(from https://syntec.net/?%2F=home)
18:09:55	61918/61918	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Dec%202022%2000:09:53%20GMT	https://syntec.net/package/dynamic_js/a2d240551c12cbd3da8f09cad86b2d1a1b668f663c7d32669ff192111386ef53/syntec-web/live/index/xnull/xfalse/xtrue/en_us/xfalse/xfalse/dynamic.js	C:/My%20Web%20Sites/yes/syntec.net/package/dynamic_js/a2d240551c12cbd3da8f09cad86b2d1a1b668f663c7d32669ff192111386ef53/syntec-web/live/index/xnull/xfalse/xtrue/en_us/xfalse/xfalse/dynamic.js	(from https://syntec.net/?%2F=home)
18:09:56	339474/339474	---MCZ	200	added ('OK')	text/css	etag:W/%221fe36c5114780412168b84eb4fb2bcf9%22	https://assets.ziggeo.com/v2-r37/ziggeo.css	C:/My%20Web%20Sites/yes/assets.ziggeo.com/v2-r37/ziggeo.css	(from https://syntec.net/?%2F=home)
18:09:56	2189112/2189112	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b402b92017e0dcdabdb54b94ff3d819%22	https://assets.ziggeo.com/v2-r37/ziggeo.js	C:/My%20Web%20Sites/yes/assets.ziggeo.com/v2-r37/ziggeo.js	(from https://syntec.net/?%2F=home)
18:09:57	8730/8730	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Dec%202022%2000:09:55%20GMT	https://syntec.net/POST	C:/My%20Web%20Sites/yes/syntec.net/POST	(from https://syntec.net/?%2F=home)
18:09:57	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Dec%202022%2000:09:56%20GMT	https://syntec.net/static/fonts/fontawesome-webfont.eot	C:/My%20Web%20Sites/yes/syntec.net/static/fonts/fontawesome-webfont.eot	(from https://syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css)
18:09:57	77160/77160	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2003%20Dec%202022%2000:09:56%20GMT	https://syntec.net/static/fonts/fontawesome-webfont.woff2	C:/My%20Web%20Sites/yes/syntec.net/static/fonts/fontawesome-webfont.woff2	(from https://syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css)
18:09:58	98024/98024	---MCZ	200	added ('OK')	application/font-woff	date:Sat,%2003%20Dec%202022%2000:09:56%20GMT	https://syntec.net/static/fonts/fontawesome-webfont.woff	C:/My%20Web%20Sites/yes/syntec.net/static/fonts/fontawesome-webfont.woff	(from https://syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css)
18:09:58	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2003%20Dec%202022%2000:09:57%20GMT	https://syntec.net/static/fonts/fontawesome-webfont.ttf	C:/My%20Web%20Sites/yes/syntec.net/static/fonts/fontawesome-webfont.ttf	(from https://syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css)
18:09:59	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Dec%202022%2000:09:57%20GMT	https://syntec.net/static/fonts/fontawesome-webfont.svg	C:/My%20Web%20Sites/yes/syntec.net/static/fonts/fontawesome-webfont.svg	(from https://syntec.net/package/run_css/0561f9f0c3bebb63c0e3a32ffc4e223057249ce8296e9812d93d77789c818b1a/syntec-web/live/index/xfalse/xfalse/run.css)
18:09:59	15388/15388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%227931a455ff01e1a2f95b669a9283c6a7%22	https://assets.ziggeo.com/v2-r37/ziggeo-ie8.eot?	C:/My%20Web%20Sites/yes/assets.ziggeo.com/v2-r37/ziggeo-ie8d41d.eot	(from https://assets.ziggeo.com/v2-r37/ziggeo.css)
18:09:59	3728/3728	---M--	200	added ('OK')	image/png	etag:%22b2aaa48d663ad0a7e0db61ba4bc5bef6%22	https://assets.ziggeo.com/v2-r37/testing-watermark.png	C:/My%20Web%20Sites/yes/assets.ziggeo.com/v2-r37/testing-watermark.png	(from https://assets.ziggeo.com/v2-r37/ziggeo.css)
18:10:00	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2003%20Dec%202022%2000:09:58%20GMT	https://assets.ziggeo.com/robots.txt		(from https://assets.ziggeo.com/v2-r37/ziggeo.css)
